matchid,inning,over_ball,over,ball,batting_team,bowling_team,batsman,non_striker,bowler,batsman_runs,extras,iswide,isnoball,byes,legbyes,penalty,dismissal_kind,player_dismissed,date,season,city,venue,winner,team1,team2,toss_winner,player_of_match,date_match,wins
335982,1,0.1,0,1,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,BB McCullum,P Kumar,0,1,,,,1.0,,,,2008-04-18,2007,Bangalore,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,2008-04-18,1
335983,1,0.1,0,1,Chennai Super Kings,Kings XI Punjab,PA Patel,ML Hayden,B Lee,0,0,,,,,,,,2008-04-19,2007,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,MEK Hussey,2008-04-19,1
335984,1,0.1,0,1,Rajasthan Royals,Delhi Daredevils,T Kohli,YK Pathan,GD McGrath,0,0,,,,,,,,2008-04-19,2007,Delhi,Feroz Shah Kotla,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,MF Maharoof,2008-04-19,1
335985,1,0.1,0,1,Mumbai Indians,Royal Challengers Bangalore,L Ronchi,ST Jayasuriya,P Kumar,0,0,,,,,,,,2008-04-20,2007,Mumbai,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,MV Boucher,2008-04-20,1
335986,1,0.1,0,1,Deccan Chargers,Kolkata Knight Riders,AC Gilchrist,Y Venugopal Rao,AB Dinda,1,0,,,,,,,,2008-04-20,2007,Kolkata,Eden Gardens,Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,DJ Hussey,2008-04-20,1
335987,1,0.1,0,1,Kings XI Punjab,Rajasthan Royals,K Goel,JR Hopes,MM Patel,0,0,,,,,,,,2008-04-21,2007,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,SR Watson,2008-04-21,1
335988,1,0.1,0,1,Deccan Chargers,Delhi Daredevils,AC Gilchrist,Y Venugopal Rao,GD McGrath,0,0,,,,,,,,2008-04-22,2007,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,Deccan Chargers,Delhi Daredevils,Deccan Chargers,V Sehwag,2008-04-22,1
335989,1,0.1,0,1,Chennai Super Kings,Mumbai Indians,PA Patel,ML Hayden,SM Pollock,0,1,1.0,,,,,,,2008-04-23,2007,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Mumbai Indians,ML Hayden,2008-04-23,1
335990,1,0.1,0,1,Deccan Chargers,Rajasthan Royals,AC Gilchrist,VVS Laxman,MM Patel,0,0,,,,,,,,2008-04-24,2007,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,YK Pathan,2008-04-24,1
335991,1,0.1,0,1,Kings XI Punjab,Mumbai Indians,K Goel,IK Pathan,SM Pollock,0,0,,,,,,,,2008-04-25,2007,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kings XI Punjab,Mumbai Indians,Mumbai Indians,KC Sangakkara,2008-04-25,1
335992,1,0.1,0,1,Royal Challengers Bangalore,Rajasthan Royals,S Chanderpaul,R Dravid,SR Watson,1,0,,,,,,,,2008-04-26,2007,Bangalore,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,SR Watson,2008-04-26,1
335993,1,0.1,0,1,Kolkata Knight Riders,Chennai Super Kings,SC Ganguly,BB McCullum,JDP Oram,2,0,,,,,,,,2008-04-26,2007,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,JDP Oram,2008-04-26,1
335994,1,0.1,0,1,Mumbai Indians,Deccan Chargers,L Ronchi,ST Jayasuriya,RP Singh,0,0,,,,,,,,2008-04-27,2007,Mumbai,Dr DY Patil Sports Academy,Deccan Chargers,Mumbai Indians,Deccan Chargers,Deccan Chargers,AC Gilchrist,2008-04-27,1
335995,1,0.1,0,1,Delhi Daredevils,Kings XI Punjab,G Gambhir,V Sehwag,B Lee,0,0,,,,,,,,2008-04-27,2007,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,SM Katich,2008-04-27,1
335996,1,0.1,0,1,Chennai Super Kings,Royal Challengers Bangalore,PA Patel,ML Hayden,DW Steyn,1,0,,,,,,,,2008-04-28,2007,Bangalore,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,MS Dhoni,2008-04-28,1
335997,1,0.1,0,1,Kolkata Knight Riders,Mumbai Indians,BB McCullum,SC Ganguly,SM Pollock,1,0,,,,,,,,2008-04-29,2007,Kolkata,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,ST Jayasuriya,2008-04-29,1
335998,1,0.1,0,1,Delhi Daredevils,Royal Challengers Bangalore,G Gambhir,V Sehwag,DW Steyn,1,0,,,,,,,,2008-04-30,2007,Delhi,Feroz Shah Kotla,Delhi Daredevils,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,GD McGrath,2008-04-30,1
335999,1,0.1,0,1,Deccan Chargers,Kings XI Punjab,AC Gilchrist,VVS Laxman,S Sreesanth,0,0,,,,,,,,2008-05-01,2007,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,SE Marsh,2008-05-01,1
336000,1,0.1,0,1,Rajasthan Royals,Kolkata Knight Riders,GC Smith,SA Asnodkar,AB Dinda,0,0,,,,,,,,2008-05-01,2007,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,SA Asnodkar,2008-05-01,1
336001,1,0.1,0,1,Chennai Super Kings,Delhi Daredevils,PA Patel,SP Fleming,GD McGrath,1,0,,,,,,,,2008-05-02,2007,Chennai,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,V Sehwag,2008-05-02,1
336003,1,0.1,0,1,Kings XI Punjab,Kolkata Knight Riders,SE Marsh,JR Hopes,I Sharma,0,0,,,,,,,,2008-05-03,2007,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,IK Pathan,2008-05-03,1
336034,1,0.1,0,1,Royal Challengers Bangalore,Deccan Chargers,B Chipli,W Jaffer,DP Vijaykumar,0,0,,,,,,,,2008-05-03,2007,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,P Kumar,2008-05-03,1
